z_entry,z_exit,sharpe,annual_return,max_dd,n_trades
3.0,0.0,-0.12398742812752289,-0.003937759880434433,-0.05242346605667103,1
2.5,0.0,-0.12398742812752289,-0.003937759880434433,-0.05242346605667103,1
2.0,0.0,-0.14073271643467306,-0.004495890662865598,-0.05242346605666459,1
1.0,0.0,-0.19489088995825474,-0.006241126563934385,-0.05242346605666437,1
1.5,0.0,-0.19489088995825474,-0.006241126563934385,-0.05242346605666437,1
2.0,0.25,-1.558216312333938,-0.03828525047641185,-0.11858175265008275,136
3.0,0.25,-1.7841254049124327,-0.030355675199294496,-0.0930535187838002,62
3.0,0.5,-1.8378481612972564,-0.026699449467713854,-0.08246446414025577,64
1.5,0.25,-2.072431884991838,-0.05563214620796153,-0.16224935682572772,179
3.0,1.0,-2.1133251348189632,-0.024882282588033156,-0.07541122425101943,64
2.5,0.25,-2.311396072703455,-0.04707216416593518,-0.1413877411175899,102
1.0,0.25,-2.426946554842478,-0.06901493314422158,-0.20367592219674924,213
2.5,0.5,-2.5863784603696387,-0.047434142168119475,-0.14239327512822753,108
2.0,0.5,-2.7117696934135576,-0.060399269769794595,-0.1791657729396715,154
2.5,1.0,-3.028822261961322,-0.04733835665777464,-0.14102177321528386,116
1.5,0.5,-3.298008459940473,-0.08151386177094855,-0.2310603858341853,205
2.0,1.0,-3.3925133907200173,-0.0668472713885756,-0.19449658521755742,182
1.0,0.5,-4.186237075468785,-0.11117479888445359,-0.30509982656466694,279
1.5,1.0,-4.366491664477771,-0.09710592649248939,-0.27061241999204777,275
