spread,interval,cost_bps_per_leg,sharpe,annual_return,max_dd,n_trades
SPY vs RSP,1h,0.25,0.9040297887106656,0.0559936946735442,-0.05553295481693732,162
MAG7 vs RSP,1h,0.25,-0.016661461637342504,-0.002586126620225948,-0.312380236221389,166
QQQ vs SPY,1h,0.25,0.4057705898057771,0.017419839248790314,-0.06055694314877691,162
SPY vs RSP,1h,0.5,0.8600922715446015,0.053226474206484964,-0.056193386034029125,162
MAG7 vs RSP,1h,0.5,-0.0853925698440938,-0.013234701614552757,-0.3186546726179057,166
QQQ vs SPY,1h,0.5,0.34398672124157725,0.01475223611408416,-0.060838420996840115,162
SPY vs RSP,1h,1.0,0.7722595920171859,0.04771335680717059,-0.05805725487920854,162
MAG7 vs RSP,1h,1.0,-0.22125170949140463,-0.03419820887516878,-0.3310359751801307,166
QQQ vs SPY,1h,1.0,0.2204714721670322,0.009437597041371149,-0.06140116585414723,162
SPY vs RSP,1h,2.0,0.5968756245083096,0.036771915546372824,-0.06705108516175573,162
MAG7 vs RSP,1h,2.0,-0.4862167879640037,-0.07482238323641599,-0.36583223733887216,166
QQQ vs SPY,1h,2.0,-0.02600353247859585,-0.0011098954273701667,-0.06911759500471415,162
SPY vs RSP,1h,5.0,0.07533044359311275,0.00461576207037151,-0.10657956200758445,162
MAG7 vs RSP,1h,5.0,-1.2204186543698339,-0.1868944824842993,-0.4925726462763358,166
QQQ vs SPY,1h,5.0,-0.7537774776829576,-0.032107909728398054,-0.11040867631035822,162
SPY vs RSP,1d,0.25,-0.412965552575553,-0.0207244799154378,-0.12306349379939052,98
MAG7 vs RSP,1d,0.25,-0.34849708113634875,-0.06410638296837334,-0.5193894091157323,92
QQQ vs SPY,1d,0.25,-0.4343552745531697,-0.02220629756210124,-0.15251655329016078,99
SPY vs RSP,1d,0.5,-0.43247947747580434,-0.021685543870393675,-0.12577188045858823,98
MAG7 vs RSP,1d,0.5,-0.36741791370820975,-0.06753496325115849,-0.5238548654141953,92
QQQ vs SPY,1d,0.5,-0.45376419969381376,-0.023175228058511133,-0.1561439688309585,99
SPY vs RSP,1d,1.0,-0.4715276970234401,-0.02360498665747346,-0.13116398763595427,98
MAG7 vs RSP,1d,1.0,-0.40512898430874106,-0.07435651456119963,-0.5333348525480108,92
QQQ vs SPY,1d,1.0,-0.4926214067560709,-0.025110354187333095,-0.1633528249961791,99
SPY vs RSP,1d,2.0,-0.5496772554068838,-0.02743315382134126,-0.14572653386878287,98
MAG7 vs RSP,1d,2.0,-0.4800001346121166,-0.08785826332437852,-0.5540055283154643,92
QQQ vs SPY,1d,2.0,-0.5704667850280862,-0.028969689723251646,-0.17758842501366068,99
SPY vs RSP,1d,5.0,-0.7839511747809469,-0.03883236047789784,-0.18960204487027177,98
MAG7 vs RSP,1d,5.0,-0.6996170020726769,-0.12725463853108843,-0.6169464216257516,92
QQQ vs SPY,1d,5.0,-0.8044851929603238,-0.040460828368053314,-0.21887438137644533,99
