underlying,year,n_trades,year_return,n_assignments,worst_trade
SOXL,2021,5,-0.16966428258255983,1,-0.22028068367090223
SOXL,2022,8,-0.199371063471233,3,-0.3773698084056855
SOXL,2023,8,0.34279370421526156,0,0.018171881678974704
SOXL,2024,9,0.28940163318724355,1,-0.1663314914273923
SOXL,2025,8,0.31547343084913426,2,-0.08059021654109566
SOXL,2026,2,0.1278879611503807,0,0.04913528452656445
TNA,2021,5,-0.042819641532569674,1,-0.07999846020093114
TNA,2022,8,-0.18183622212189898,2,-0.3328045203793213
TNA,2023,8,0.11711397019029635,0,0.004180813147293039
TNA,2024,9,0.1638825650579574,0,0.003807514429636092
TNA,2025,8,0.08800498517997224,1,-0.07355820397102199
TNA,2026,2,0.01988743565777429,0,0.005036890190971601
TQQQ,2021,5,-0.1706203480512437,1,-0.1771411168383845
TQQQ,2022,8,-0.22698656861484068,2,-0.3739488460844356
TQQQ,2023,8,0.09874896321273186,0,0.005652749254051678
TQQQ,2024,9,0.09175841306604582,0,0.0012798639741085035
TQQQ,2025,8,0.1034244696725577,1,-0.05337907631440676
TQQQ,2026,2,0.012830369449984058,0,0.004507327515507529
UPRO,2021,5,-0.01706989064123765,1,-0.02018331522660467
UPRO,2022,8,-0.09027556725662222,2,-0.2308975958637466
UPRO,2023,8,0.0302726613638451,0,0.00021928374367103694
UPRO,2024,9,0.023763414104892133,0,3.4903252962207246e-05
UPRO,2025,8,0.10192273918387484,0,0.00010436248598387252
UPRO,2026,2,0.0024230650806762455,0,0.0007745459895987404
