=== FULL TIMELINE: Highest temperature in Hong Kong on April 24, 2026 ===
Total rows: 107

  #  timestamp UTC        type        side   bucket   price        size        USDC
  1  2026-04-23 00:23:06  SPLIT               >=28C  0.5000     5000.00     5000.00
  2  2026-04-23 00:24:54  CONVERSION              ?  0.0000     5000.00     5000.00
  3  2026-04-23 00:25:52  TRADE       SELL    >=28C  0.0021      621.91        1.22
  4  2026-04-23 00:32:44  TRADE       SELL     =27C  0.0030     3333.33        9.50
  5  2026-04-23 00:49:10  TRADE       SELL     =19C  0.0020      702.99        1.34
  6  2026-04-23 02:41:18  TRADE       SELL    >=28C  0.0020      909.18        1.82
  7  2026-04-23 03:02:04  TRADE       SELL    >=28C  0.0020        1.00        0.00
  8  2026-04-23 03:29:02  TRADE       SELL    >=28C  0.0020     1000.00        2.00
  9  2026-04-23 16:30:14  TRADE        BUY     =23C  0.6900       98.45       69.00
 10  2026-04-23 16:32:06  TRADE       SELL    >=28C  0.0040     1896.35        7.21
 11  2026-04-23 16:32:26  TRADE       SELL    >=28C  0.0030      571.55        1.63
 12  2026-04-23 16:32:36  TRADE       SELL     =27C  0.0100       58.00        0.55
 13  2026-04-23 16:33:38  TRADE       SELL     =20C  0.0020      241.55        0.46
 14  2026-04-23 16:33:48  TRADE       SELL     =21C  0.0020      118.92        0.23
 15  2026-04-23 16:34:14  TRADE       SELL     =22C  0.0030      105.05        0.30
 16  2026-04-23 16:42:32  TRADE       SELL     =21C  0.0020       23.16        0.05
 17  2026-04-23 16:42:32  TRADE       SELL     =20C  0.0020       23.16        0.05
 18  2026-04-23 16:42:48  TRADE       SELL     =20C  0.0020       16.84        0.03
 19  2026-04-23 16:42:48  TRADE       SELL     =21C  0.0020       16.84        0.03
 20  2026-04-23 16:43:54  TRADE       SELL     =23C  0.6600       20.00       12.98
 21  2026-04-23 16:43:58  TRADE       SELL     =21C  0.0020       21.05        0.04
 22  2026-04-23 16:43:58  TRADE       SELL     =20C  0.0020       21.05        0.04
 23  2026-04-23 16:44:18  TRADE        BUY     =24C  0.1664       34.26        5.95
 24  2026-04-23 16:44:52  TRADE       SELL     =22C  0.0030      274.21        0.82
